;empty_slots;extra;free_bikes;id;latitude;longitude;name;timestamp
0;7;{'uid': '017'};20;9d57ab84bdcde15d64a1664c01ea8fb9;60.173099;24.949636;Varsapuistikko;2018-09-26T09:58:16.123000Z
1;10;{'uid': '039'};16;df83a13673a5c3139cab51286bc13003;60.182578;24.926764;Ooppera;2018-09-26T09:58:16.186000Z
2;14;{'uid': '128'};0;688c4566b4403571801f4268df799fd4;60.1920576;24.9642238;Päijänteentie;2018-09-26T09:58:16.074000Z
3;10;{'uid': '715'};2;37c5312fc86cf5a6286be9eacc3ac8c7;60.216222;24.821932;Komentajankatu;2018-09-26T09:58:16.195000Z
4;6;{'uid': '069'};8;cb6a7f2323230164c254c5c909d80ecb;60.1656962;24.9314323;Kalevankatu;2018-09-26T09:58:16.309000Z
5;9;{'uid': '587'};3;d8d1594239323944e2a30ef2493d8d85;60.162477;24.767831;Hauenkallio;2018-09-26T09:58:16.566000Z
6;20;{'uid': '026'};12;cfa241b3c8fe3a3384d61ee20ff315dc;60.168644;24.930435;Kampin metroasema;2018-09-26T09:58:16.169000Z
7;16;{'uid': '146'};0;0b47370a4249132f08f9226065237576;60.2172043;24.9544112;Pohjolanaukio;2018-09-26T09:58:16.168000Z
8;9;{'uid': '084'};3;241bdd9f5c08b30dbb6446469bfabd8d;60.19163756;24.90078593;Mäntytie;2018-09-26T09:58:16.458000Z
9;24;{'uid': '521'};5;e02233eb497bb93e13bc029eeb6fb547;60.177588;24.803942;Kulttuuriaukio;2018-09-26T09:58:16.469000Z
10;23;{'uid': '101'};1;6ee3e23da86fc75c6f11a707fb805747;60.2059946;24.8798291;Munkkivuoren ostoskeskus;2018-09-26T09:58:16.562000Z
11;10;{'uid': '004'};4;e7d6364475a29671947f060bdedaef92;60.160944;24.941859;Viiskulma;2018-09-26T09:58:16.061000Z
12;3;{'uid': '006'};22;ca527b35a8907cb96e8fb3275c43258b;60.162287;24.929542;Hietalahdentori;2018-09-26T09:58:16.069000Z
13;3;{'uid': '013'};13;033080b28b100f742e361f30e553085e;60.167891;24.975561;Merisotilaantori;2018-09-26T09:58:16.095000Z
14;9;{'uid': '015'};3;6fc5132955e07b845f6a2e62470292bd;60.171025;24.955571;Ritarikatu;2018-09-26T09:58:16.099000Z
15;12;{'uid': '016'};6;5d07a8fc3ba2ba51625e9993e61a491b;60.174175;24.96148;Liisanpuistikko;2018-09-26T09:58:16.117000Z
16;37;{'uid': '021'};7;f65b68cc5f19045a8b07f59f47b5b010;60.17291;24.93913;Töölönlahdenkatu;2018-09-26T09:58:16.160000Z
17;14;{'uid': '023'};16;584e77525465ab5217822e6f6a9f7c39;60.171413;24.937402;Kiasma;2018-09-26T09:58:16.164000Z
18;0;{'uid': '032'};0;37edaaaed3d70f61d09ada463150023e;60.171346;24.931874;Eläinmuseo;2018-09-26T09:58:16.181000Z
19;14;{'uid': '033'};2;087aed9505e2f06b74fbd6b96486c4d8;60.171155;24.92506;Kauppakorkeakoulu;2018-09-26T09:58:16.182000Z
20;12;{'uid': '034'};3;8adcd117e712e01bdc3d24ed2ee7f9d0;60.173944;24.932879;Kansallismuseo;2018-09-26T09:58:16.183000Z
21;12;{'uid': '036'};1;2c1c0df24c5fd9b98999de2d6ef0f2a6;60.176076;24.922503;Apollonkatu;2018-09-26T09:58:16.184000Z
22;11;{'uid': '037'};6;b91b0dc7dfe785f59ecdbbe187ea9fe2;60.1774947;24.928409278;Töölönkatu;2018-09-26T09:58:16.185000Z
23;11;{'uid': '038'};4;10388240daa03dce0726db54a627d4f4;60.179141;24.924981;Töölöntori;2018-09-26T09:58:16.186000Z
24;10;{'uid': '040'};18;38319ecf8cadc7b3c9a0c009bad1d142;60.178102;24.952391;Hakaniemen metroasema;2018-09-26T09:58:16.198000Z
25;2;{'uid': '041'};39;5d71dc7c702527c1cafcd88674750fe5;60.180808;24.949272;Ympyrätalo;2018-09-26T09:58:16.200000Z
26;12;{'uid': '043'};8;d03a5f077dd43c3979cac9bf1cff04f7;60.184283;24.952703;Karhupuisto;2018-09-26T09:58:16.203000Z
27;23;{'uid': '044'};1;9a129e60f204059e7033224e79ba4816;60.187704;24.960505;Sörnäisten metroasema;2018-09-26T09:58:16.205000Z
28;5;{'uid': '052'};13;f36e109143c3a5667c72fa3e53f3743f;60.1540763;24.8793159;Heikkilänaukio;2018-09-26T09:58:16.271000Z
29;2;{'uid': '053'};8;8d3c28d2071974a4568ce0018613acc8;60.156817;24.8850653;Heikkiläntie;2018-09-26T09:58:16.272000Z
30;6;{'uid': '056'};6;61b7df21d32a35c1373ea63c4464a23d;60.1654485;24.8601992;Luoteisväylä;2018-09-26T09:58:16.275000Z
31;2;{'uid': '593'};14;b5e6c836ffc8fb5e1e578a512ef301b8;60.159601;24.782536;Toppelundintie;2018-09-26T09:58:15.999000Z
32;15;{'uid': '110'};3;79e6a073c80d2667b629db194629b403;60.198898;24.924867;Maistraatintori;2018-09-26T09:58:16.004000Z
33;17;{'uid': '113'};23;74689515429fa60a03634dba53ae4ba6;60.199715;24.935198;Veturitori;2018-09-26T09:58:16.018000Z
34;11;{'uid': '115'};5;ad22db44a62ee3fb4fa7fbf881b14115;60.1942095;24.941578;Venttiilikuja;2018-09-26T09:58:16.022000Z
35;10;{'uid': '121'};7;4f9d39370f89c01556e6198029d28dbc;60.1864633;24.9678718;Vilhonvuorenkatu;2018-09-26T09:58:16.040000Z
36;1;{'uid': '122'};17;d6e1c2b7cab65e4b0cf39be6af30cc6a;60.1837182;24.9621936;Lintulahdenkatu;2018-09-26T09:58:16.048000Z
37;2;{'uid': '124'};17;18757df75f572ff24ba88b2ead97352c;60.18265182;24.98179261;Isoisänsilta;2018-09-26T09:58:16.056000Z
38;7;{'uid': '125'};22;c266d627b510c4ab43632d3bbbccb32c;60.1847821;24.9786428;Arielinkatu;2018-09-26T09:58:16.064000Z
